"","meanS","sdmeanS","meanFDR","sdmeanFDR"
"ni=4, m11= 500, mnds = 1",5.86,0.476523606419186,0.0387075363147345,0.00892662185485552
"1",18.42,0.742665143352989,0.0912415176481419,0.00689508044075756
"ni=4, m11= 500, mnds = 2",114.09,1.6843963040481,0.0392584499202035,0.00186803935867624
"2",176.9,1.1908319814654,0.0918610478410805,0.00193262340116988
"ni=4, m11= 1000, mnds = 1",6.63,0.531940415893177,0.030469109107267,0.00764962683192293
"3",63.51,1.33026123355338,0.169092398233642,0.00396120376776434
"ni=4, m11= 1000, mnds = 2",182.99,2.24924207211894,0.0451656165763879,0.00168228477946424
"4",427.68,1.96396218770817,0.174631085814159,0.00160629600308461
"ni=4, m11= 2000, mnds = 1",15.59,1.05515521382047,0.0336002864790377,0.00541175953875793
"5",205.11,2.27644481815418,0.165729288438704,0.00248291823130989
"ni=4, m11= 2000, mnds = 2",446.85,5.66250069681357,0.0428751141910705,0.00138230056452454
"6",1001.19,2.86595110872041,0.171573408635417,0.00105612925804414
"ni=4, m11= 3000, mnds = 1",27.53,1.41745646433421,0.0368592090858566,0.00612340799551718
"7",393.33,2.79631991204602,0.165845204213652,0.00168788188906665
"ni=4, m11= 3000, mnds = 2",724.2,4.87498251745117,0.0404244279540435,0.000710023425300009
"8",1633.57,2.75813782150643,0.175648301686148,0.00082286318101011
"ni=10, m11= 500, mnds = 1",97.41,1.25247996415354,0.0322205934038086,0.00179296306017556
"9",135.79,1.82514950266292,0.0895741034877992,0.0023279037173926
"ni=10, m11= 500, mnds = 2",321.58,1.1701834441357,0.0439091484500816,0.00124046228076383
"10",279.37,11.0440774840974,0.0604119923241935,0.00465901596251681
"ni=10, m11= 1000, mnds = 1",173.88,1.65921242117634,0.0387958788824987,0.00159262439101731
"11",312.78,5.55942334049026,0.165489995778456,0.00341996368114541
